"id","name"
"Wg3zG8wuWhg72c4oUGjjEN","MYUGARIRO"
"NcQNoREaZvchhsMDNRns8p","CDS MUGERA"
"anb6v4wUpfj29tavvJRKou","SFD_CDS BUYE"
"KEc5cWXbXU22vpTGjT8yAV","Gihembe"
"esVnMCyUSNHVxnn73nw3CA","NYABITSINDU"
"FwvgXWdCxGQLr5zup8Y97V","KAJERAMA"
"MpZzWrMkfsoJvDoPTVzkEH","CDS MUREMERA"
"WXtmRog2EJkdD3v94hrhdF","BUSIGARIYE"
"WZ37PZhRaAhn5y7cJ3sHQa","GISOKO(KIBUYE)"
"8W4Qt5jN5nVB4XpkDKJg7t","NGOMO"
"nJP9ogmZR7fZZgksJL6QVy","TR6B"
"fHYJUhaJvr4ZYPLBKiL9i2","RUBUGA I"
"dN54HiS88h5sgjgMsxbYCT","SHATANYA3"
"Tu8tR6F3pKTjfWwBi2jKL4","RUHANDA"
"RFdp3VXtpqcb2zqbStTu8L","NDENGO"
"nTBcQZ9hokHAV6pQ4gGTb5","Kabona"
"RJPNVQb2LfyXvEQQLnRCUa","RYASEKIZARA"
"ifDmq2E3ANPNoeet44tTs9","MURAGO"
"Gv8jesfPNRTsnNr3aYGup2","Gatumba"
"BV6j6WjrdKdu8QivNmxmJ8","Banda"
"KErot7BcqBspFS36RXCGpu","MURENGERA"
"au2qEiQV4zN8pXexQFTfbj","NYAKERO"
"nmZVJ9Grd6m4hhNQUNDfvf","KABUMBA"
"gKF9ABDFPpDGX3qjtiHesv","RUTUNGA"
"AppnyGHXvgQBpGmtNscgzq","KABEBE"
"6HRt4KtY6VJdM3hXrLvEKz","CDS MUSENYI ETAT"
"fVEDsxDD4T87oXWCZJSnon","MASHA"
"RggYr8NEeswEUSC2gD6bZq","MUREHE"
"Qs3VMsoWznQQvhTqQut3nS","NYABIGOMA"
"KWjeGLK9uXFgAPYkrtYKM8","GITWA"
"Phpf6aDdyZsNbw53hLsbvk","Rutumndwe"
"eyLQvsqdN5jzQR9GfyNRJy","KIVUMU"
"LceqVc35uo8fZU9w7rrsZD","MISAVE"
"LctmBVW7DchyFBRzbA4wxc","KIVOGA"
"ezovYNmcxN8xrhurmb5FUs","NDENGO"
"CXq4FCrAEfdVabih6XnrJg","NYAMIRAMBO"
"mfL3EPtTjbTGzxm59sSMvo","GASERERI"
"TafMpDAtfD4uhWL4f9dqGF","CDS RUSENDA"
"iFfqMeihoRB6GbswCzESo43","KIGWATI"
"KHAtBanE8RfuMA2NuThpaA","RUGOMA"
"N2EwNBrzyhNn5pHrnUUVoj","Gasorwe"
"iFfqMeihoRB6GbswCzESo44","ECOFO NYABIGANDA"
"KvSFMaFsLhp4TPXzZoVntu","RUHAKE"
"GvohMVLqRnoqXZnkbmjZvW","SFD_ECOFO MWAKIRO 1"
"CbkBVtznb9kpWjfp5UVcP5","SFD_ECOFO KIGWATI"
"Rsmx4jh4VFNyPj5mQ53tZn","CDS CANDA"
"VBiMZwUFh75HKNXhBRV8pB","Mahonda"
"ZAeAThcsocDJ9KvGS4GSrX","Gitanga"
"aCz6opHKbg6qSXvjfW2kVY","BUKURIRA"
"oRjLWMF8iyENfLgKjqd95u","MIREMERA"
"WTMT73iQ4b7XcAvGhVbNVt","KAREMERA"
"RcHhh9rVKFyzhrgwSNGsCZ","MITARI"
"XEDTh6F64JykTBQAnne6Zq","KIGUFI"
"XExVni258VoVHSM7UPPbkB","SFD_ECOFO RUSENO"
"P6pAJvLEt5tE2U4qjdaHkF","GISHIRWE"
"5FxijvnMN9zZfrLqqZJNp6","NYAMIFUMBA/MUYANGE"
"dPu4ZcugZhkmmo3buzUgaE","Mwaro"
"8cGnjm6z3okZiZTFcDWr5b","KIGARAMA"
"7bZWj4HEXLaPuCtk9fHBqF","GACABWOYA"
"DSwjAHTWVE7zYx3jxwpGhT","TABA"
"8L33AuBNJ8YAqZsZ7mCnii","HC MBUYE"
"iQHmxtMDPwgq3tN6GEVThY","NYABUGIMBU"
"9FykBKf2UNWaEw4By4sqWD","MUHUMYA"
"fRnpxy6FSwY28hu5hVYrjs","NTAMBA"
"DRQFyuTsGwje3CzDX4CEJE","TABA"
"oV6vRinjJe9dgG2kCLRKEE","NYARUGANDA"
"N36ifRjVQ28qYUpFASuurr","KINYAMI"
"87mcFCMoWJumzuAwB5qDRb","SFD_ECOFO CANIKA"
"PppVSABxLsyv8zqqBEBMk6","GITONGANE"
"M3KiBE9oNY5aBDVFVaQ794","CDS KIBUNGERE"
"Xx5bh9mdPP2JTghh4t24d7","SFD_ECOFO TABA 1 (NYABIHANGA)"
"9YskF2PyRP85kkNPiPosKV","KAYOMBE"
"Febge9tANePkBxAyd9ogxP","GIKUMBU"
"HQ2cT5TCdPicp6Vi5Mjn3V","NYAMIRENDA"
"NxvfkghB4TJxsmNkWu5zYc","MUREMERA"
"oKZw8RsQguuryc3RfYg8He","Majambere"
"MxjPdqqDnJwpsk83mmUZoD","Karinzi"
"duGfJeMGe5GNSp7kfQXH86","SFD_ECOFO (Cooperative)"
"Uyn3MsaTx63QVSUC2zjJSX","MIKIMBA"
"MAMS3CuzVPLuEwbzgmvwdH","Mugero"
"9gguYftYZKrt8sHBykLHN7","RUVUMU"
"HWYkF5yKtpjwd93SVqgdXQ","GITANGA"
"5am5P8guyAJJHxZLr89EuQ","RWISASU"
"MwKEKQAaMvuq8Sb488Tbnk","MUTUMBA"
"dewMHihKHmXoV3aqnG9vFL","TR4B"
"EyA9ttDDwkyfeWdyc3Rk9o","GASENYI"
"V82JSnV6WgBBJdxqXQJL29","Kibuye"
"gfDWJNBdLuV9stEejJBfto","GAHERA"
"LEuUGBwb5bcCDVULTptyeu","Gatabo"
"KjTn4XjcteWKbTUUDty8NB","SFD_ECOFO NKOYOYO"
"AwbVcjANAnkTNybE4xfqJ4","RUTARABANA"
"j2VNj2fzPNEsFM7UihRKzK","KAGONGO"
"EbfoYsYJjzmdKpFdhYeXzX","MBIZI I"
"PeSgPmkzGtSrytaFdLNYBM","SFD_CDS GATOBO (RUMONGE)"
"9TaZnjzrGH54hF3pSBQy9z","MUGONGO"
"CzHBU2cMdm4awyUtbiwmto","MARUMPU"
"nz7ZRYtarFKrAnpcixhzrR","Mujimwema I"
"Jrjc4PFAH2ictsfyq6k7e2","NGOZI"
"5t7oM88cJH2n8JfTSqadKd","MUSENGA"
"AxwS2PmBWkuUHcZDSGKsWJ","Kiyagara"
"2cz7KZyDAtQJWUbwHKG2cE","SFD_ECOFO BUHIGA 1"
"WqwvXANbZrEQfka9FWqKYL","SAGA"
"euC4tuuPExjVgunKhDtiGB","MUSAMA 3"
"6twrJiboaLNGS62WYDowrH","Gakombe"
